PaperTitle,Authors (with Affiliations),AuthorNames
Optimal channel selection with discrete QCQP,Yeonwoo Jeong (Seoul National University)*; Deokjae Lee (Seoul National University); Gaon An (Seoul National University); Changyong Son (Samsung); Hyun Oh Song (Seoul National University),"Jeong, Yeonwoo*; Lee, Deokjae; An, Gaon; Son, Changyong; Song, Hyun Oh"
Vanishing Curvature in Randomly Initialized Deep ReLU Networks,Antonio Orvieto (ETH Zurich)*; Jonas Kohler (ETHZ); Dario Pavllo (ETH Zurich); Thomas Hofmann (ETH Zurich); Aurelien Lucchi (ETH Zurich),"Orvieto, Antonio*; Kohler, Jonas; Pavllo, Dario; Hofmann, Thomas; Lucchi, Aurelien"
Fast and Scalable Spike and Slab Variable Selection in High-Dimensional Gaussian Processes,Hugh Dance (University College London)*; Brooks Paige (University College London),"Dance, Hugh*; Paige, Brooks"
Self-training Converts Weak Learners to Strong Learners in Mixture Models,"Spencer Frei (UC Berkeley)*; Difan  Zou (University of California, Los Angeles); Zixiang Chen (UCLA); Quanquan Gu (University of California, Los Angeles)","Frei, Spencer*; Zou, Difan ; Chen, Zixiang; Gu, Quanquan"
Two-Sample Test with Kernel Projected Wasserstein Distance,Jie Wang (Georgia Institute of Technology)*; Rui Gao (University of Texas at Austin); Yao Xie (Georgia Tech),"Wang, Jie*; Gao, Rui; Xie, Yao"
Mode estimation on matrix manifolds: Convergence and robustness,Hiroaki  Sasaki (Future University Hakodate)*; Jun-ichiro Hirayama (AIST/RIKEN AIP); Takafumi Kanamori (Tokyo Institute of Technology/RIKEN AIP),"Sasaki, Hiroaki *; Hirayama, Jun-ichiro; Kanamori, Takafumi"
A dimensionality reduction method for finding least-favorable priors with a focus on Bregman divergence,Alex R Dytso (New Jersey Institute of Technology)*; Mario Goldenbaum (Hochschule Bremen); H. Vincent Poor (Princeton University); Shlomo Shamai (Technion ),"Dytso, Alex R*; Goldenbaum, Mario; Poor, H. Vincent; Shamai, Shlomo"
Towards Federated Bayesian Network Structure Learning with Continuous Optimization,Ignavier Ng (Carnegie Mellon University)*; Kun Zhang (Carnegie Mellon University),"Ng, Ignavier*; Zhang, Kun"
Nuances in Margin Conditions Determine Gains in Active Learning,Samory Kpotufe (Columbia University); Gan Yuan (Columbia University)*; YUNFAN ZHAO (Columbia University),"Kpotufe, Samory; Yuan, Gan*; ZHAO, YUNFAN"
Learning Quantile Functions without Quantile Crossing  for Distribution-free  Time Series Forecasting,Youngsuk Park (Amazon Research)*; Danielle Maddix (Amazon Research ); Kelvin Kan (Emory University); François-Xavier Aubet (Amazon Research); Jan Gasthaus (Amazon Research); Yuyang Wang (Amazon),"Park, Youngsuk*; Maddix, Danielle; Kan, Kelvin; Aubet, François-Xavier; Gasthaus, Jan; Wang, Yuyang"
Convergence of Langevin Monte Carlo in Chi-Squared and Rényi Divergence,"Murat A Erdogdu (University of Toronto, Vector Institute); Rasa Hosseinzadeh (University of Toronto); Shunshi Zhang (University of Toronto, Vector Institute)*","Erdogdu, Murat A; Hosseinzadeh, Rasa; Zhang, Shunshi*"
On the Convergence of Continuous Constrained Optimization for Bayesian Network Structure Learning,"Ignavier Ng (Carnegie Mellon University)*; Sebastien Lachapelle (Mila, Université de Montréal); Nan Rosemary Ke (Mila, University of Montreal); Simon Lacoste-Julien (Mila, Université de Montréal); Kun Zhang (Carnegie Mellon University)","Ng, Ignavier*; Lachapelle, Sebastien; Ke, Nan Rosemary; Lacoste-Julien, Simon; Zhang, Kun"
Hardness of Learning a Single Neuron with Adversarial Label Noise,Ilias Diakonikolas (University of Wisconsin-Madison); Daniel Kane (-); Pasin Manurangsi (Google); Lisheng Ren (University of Wisconsin-Madison)*,"Diakonikolas, Ilias; Kane, Daniel; Manurangsi, Pasin; Ren, Lisheng*"
Firebolt: Weak Supervision Under Weaker Assumptions,"Zhaobin Kuang (Google)*; Chidubem G Arachie (Virginia Tech); Bangyong Liang (Google); Pradyumna Narayana (Google); Giulia DeSalvo (Google Research); Michael S Quinn (Google, Inc.); Bert Huang (Tufts University); Geoffrey Downs (Google, Inc); Yang Yang (Google)","Kuang, Zhaobin*; Arachie, Chidubem G; Liang, Bangyong; Narayana, Pradyumna; DeSalvo, Giulia; Quinn, Michael S; Huang, Bert; Downs, Geoffrey; Yang, Yang"
Relational Neural Markov Random Fields,Yuqiao Chen (UT Dallas)*; Sriraam Natarajan (UT Dallas); Nicholas Ruozzi (UT Dallas),"Chen, Yuqiao*; Natarajan, Sriraam; Ruozzi, Nicholas"
PACm-Bayes: Narrowing the Empirical Risk Gap in the Misspecified Bayesian Regime,Warren R Morningstar (Google Research); Alex Alemi (Google); Joshua V Dillon (Google)*,"Morningstar, Warren R; Alemi, Alex; Dillon, Joshua V*"
Low-Pass Filtering SGD for Recovering Flat Optima in the Deep Learning Optimization Landscape,Devansh Bisla (NYU); Jing Wang (New York University); Anna Choromanska (NYU)*,"Bisla, Devansh; Wang, Jing; Choromanska, Anna*"
Online Control of the False Discovery Rate under “Decision Deadlines”,Aaron J Fisher (Foundation Medicine Inc)*,"Fisher, Aaron J*"
Tile Networks: Learning Optimal Geometric Layout for Whole-page Recommendation,Shuai Xiao (Ant Financial Services Group)*; Zaifan Jiang (Ant Financial Services Group); Shuang Yang (Alibaba Group),"Xiao, Shuai*; Jiang, Zaifan; Yang, Shuang"
A Bayesian Approach for Stochastic Continuum-armed Bandit with Long-term Constraints,Zai Shi (The Ohio State University)*; Atilla Eryilmaz (),"Shi, Zai*; Eryilmaz, Atilla"
Amortized Rejection Sampling in Universal Probabilistic Programming,Saeid Naderiparizi (University of British Columbia)*; Adam Scibior (University of British Columbia); Andreas Munk (University of British Columbia); Mehrdad Ghadiri (GeorgiaTech); Atilim Gunes Baydin (University of Oxford); Bradley J Gram-Hansen (University of Oxford);  Christian  A Schroeder de Witt (University of Oxford); Robert Zinkov (University of Oxford); Philip Torr (University of Oxford); Tom Rainforth (University of Oxford); Yee Whye Teh (University of Oxford); Frank Wood (University of British Columbia),"Naderiparizi, Saeid*; Scibior, Adam; Munk, Andreas; Ghadiri, Mehrdad; Baydin, Atilim Gunes; Gram-Hansen, Bradley J; Schroeder de Witt,  Christian  A; Zinkov, Robert; Torr, Philip; Rainforth, Tom; Teh, Yee Whye; Wood, Frank"
The Curse of Passive Data Collection in Batch Reinforcement Learning,Chenjun Xiao (Google / University of Alberta)*; ILBIN LEE (University of Alberta); Bo Dai (Google Brain); Dale Schuurmans (Google / University of Alberta); Csaba Szepesvari (DeepMind/University of Alberta),"Xiao, Chenjun*; LEE, ILBIN; Dai, Bo; Schuurmans, Dale; Szepesvari, Csaba"
