PaperTitle,Authors (with Affiliations),AuthorNames
Cross-Loss Influence Functions to Explain Deep Network Representations,Andrew Silva (Georgia Institute of Technology)*; Rohit Chopra (Georgia Institute of Technology); Matthew Gombolay (Georgia Institute of Technology),"Silva, Andrew*; Chopra, Rohit; Gombolay, Matthew"
Federated Reinforcement Learning with Environment Heterogeneity,Hao Jin (Peking University)*; 洋 彭 (Peking University); Wenhao Yang (Peking University); Shusen Wang (Stevens Institute of Technology); Zhihua Zhang (Peking University),"Jin, Hao*; 彭, 洋; Yang, Wenhao; Wang, Shusen; Zhang, Zhihua"
On Linear Model with Markov Signal Priors,Lan V Truong (University of Cambridge)*,"Truong, Lan V*"
Maillard Sampling: Boltzmann Exploration Done Optimally,Jie Bian (University of Arizona); Kwang-Sung Jun (University of Arizona)*,"Bian, Jie; Jun, Kwang-Sung*"
Norm-Agnostic Linear Bandits,Spencer B Gales (University of Arizona); Sunder Sethuraman (University of Arizona); Kwang-Sung Jun (University of Arizona)*,"Gales, Spencer B; Sethuraman, Sunder; Jun, Kwang-Sung*"
Gaussian Process Bandit Optimization with Few Batches,Zihan Li (National University of Singapore)*; Jonathan Scarlett (National University of Singapore),"Li, Zihan*; Scarlett, Jonathan"
Approximate Function Evaluation via Multi-Armed Bandits,Tavor Z Baharav (Stanford University)*; Gary Cheng (Stanford University); Mert Pilanci (Stanford University); David Tse (Stanford University),"Baharav, Tavor Z*; Cheng, Gary; Pilanci, Mert; Tse, David"
Unlabelled Data Helps: Minimax Analysis and Adversarial Robustness,Yue Xing (Purdue University)*; Qifan Song (Purdue University ); Guang Cheng (UCLA),"Xing, Yue*; Song, Qifan; Cheng, Guang"
System-Agnostic Meta-Learning for MDP-based Dynamic Scheduling via Descriptive Policy,Hyun-Suk Lee (Sejong University)*,"Lee, Hyun-Suk*"
Deep Layer-wise Networks Have Closed-Form Weights,Chieh Tzu Wu (Northeastern)*; Aria Masoomi (Northeastern University); Arthur Gretton (Gatsby Computational Neuroscience Unit); Jennifer Dy (Northeastern),"Wu, Chieh Tzu*; Masoomi, Aria; Gretton, Arthur; Dy, Jennifer"
Sequential Multivariate Change Detection with Calibrated and Memoryless False Detection Rates,Oliver Cobb (Seldon Technologies)*; Arnaud Van Looveren (Seldon Technologies); Janis Klaise (Seldon Technologies),"Cobb, Oliver*; Van Looveren, Arnaud; Klaise, Janis"
Neural Contextual Bandits without Regret,Parnian Kassraie (ETH Zurich)*; Andreas Krause (ETH Zürich),"Kassraie, Parnian*; Krause, Andreas"
SAN: Stochastic Average Newton Algorithm for Minimizing Finite Sums,Jiabin CHEN (Ecole Polytechnique )*; Rui YUAN (Facebook AI Research); Guillaume Garrigos (Univ. Paris-Sorbonne); Robert M Gower (Flatiron Institute),"CHEN, Jiabin*; YUAN, Rui; Garrigos, Guillaume; Gower, Robert M"
Factorization Approach for Low-complexity Matrix Completion Problems: Exponential Number of Spurious Solutions and Failure of Gradient Methods,Baturalp Yalçın (UC Berkeley)*; Haixiang Zhang (UC Berkeley); Javad Lavaei (UC Berkeley); Somayeh Sojoudi (UC Berkeley),"Yalçın, Baturalp*; Zhang, Haixiang; Lavaei, Javad; Sojoudi, Somayeh"
k-experts - Online Policies and Fundamental Limits,Samrat Mukhopadhyay (IIT (ISM) Dhanbad); Sourav Sahoo (Indian Institute of Technology Madras); Abhishek Sinha (IIT Madras)*,"Mukhopadhyay, Samrat; Sahoo, Sourav; Sinha, Abhishek*"
Extragradient Method: O(1/K)  Last-Iterate Convergence for Monotone Variational Inequalities and Connections With Cocoercivity,Eduard Gorbunov (Moscow Institute of Physics and Technology)*; Nicolas Loizou (Johns Hopkins University); Gauthier Gidel (Mila),"Gorbunov, Eduard*; Loizou, Nicolas; Gidel, Gauthier"
Multi-armed Bandit Algorithm against Strategic Replication,Suho Shin (Lineplus Corporation)*; Seungjoon Lee (POSTECH); Jungseul Ok (POSTECH),"Shin, Suho*; Lee, Seungjoon; Ok, Jungseul"
Gap-Dependent Bounds for Two-Player Markov Games,Zehao Dou (Yale University)*; Zhuoran Yang (Princeton.edu); Zhaoran Wang (Northwestern U); Simon Du (University of Washington),"Dou, Zehao*; Yang, Zhuoran; Wang, Zhaoran; Du, Simon"
Exploiting Correlation to Achieve Faster Learning Rates  in Low-Rank Preference Bandits,"Aadirupa Saha (Microsoft Research)*; Suprovat Ghoshal (Dept. of CSA, IISc)","Saha, Aadirupa*; Ghoshal, Suprovat"
Exploring Image Regions Not Well Encoded by an INN,Zenan Ling (Peking University); Fan Zhou (Shanghai Jiao Tong University); Meng Wei (University of Toronto); Quanshi Zhang (Shanghai Jiao Tong University)*,"Ling, Zenan; Zhou, Fan; Wei, Meng; Zhang, Quanshi*"
Finding Dynamics Preserving Adversarial Winning Tickets,Xupeng Shi (Northeastern University)*; Pengfei Zheng (Nanjing University); A. Adam Ding (Northeastern University); Yuan Gao (Tencent AI Lab); Weizhong Zhang (HKUST),"Shi, Xupeng*; Zheng, Pengfei; Ding, A. Adam; Gao, Yuan; Zhang, Weizhong"
Being a Bit Frequentist Improves Bayesian Neural Networks,Agustinus Kristiadi (University of Tübingen)*; Matthias Hein (University of Tübingen); Philipp Hennig (University of Tübingen and MPI for Intelligent Systems Tübingen),"Kristiadi, Agustinus*; Hein, Matthias; Hennig, Philipp"
Jointly Efficient and Optimal Algorithms for Logistic Bandits,Louis Faury (Criteo AI Lab)*; Marc Abeille (Criteo AI Lab); Kwang-Sung Jun (University of Arizona); Clement Calauzenes (Criteo),"Faury, Louis*; Abeille, Marc; Jun, Kwang-Sung; Calauzenes, Clement"
Obtaining Causal Information by Merging Datasets with MAXENT,Sergio H Garrido Mejia (DTU/Amazon research)*; Elke Kirschbaum (Amazon Research); Dominik Janzing (Amazon),"Garrido Mejia, Sergio H*; Kirschbaum, Elke; Janzing, Dominik"
Distributed Sparse Multicategory Discriminant Analysis,Hengchao Chen (University of Toronto)*; Qiang Sun (University of Toronto),"Chen, Hengchao*; Sun, Qiang"
Probabilistic Numerical Method of Lines for Time-Dependent Partial Differential Equations,"Nicholas Krämer (University of Tübingen)*; Jonathan Schmidt (University of Tübingen); Philipp Hennig (University of Tübingen and MPI for Intelligent Systems, Tübingen)","Krämer, Nicholas*; Schmidt, Jonathan; Hennig, Philipp"
A View of Exact Inference in Graphs from the Degree-4 Sum-of-Squares Hierarchy,Kevin Bello (UChicago/CMU)*; Chuyang Ke (Purdue University); Jean Honorio (Purdue),"Bello, Kevin*; Ke, Chuyang; Honorio, Jean"
Marginalized Operators for Off-policy Reinforcement Learning,Yunhao Tang (DeepMind)*; Mark Rowland (DeepMind); Remi Munos (DeepMind); Michal Valko (DeepMind),"Tang, Yunhao*; Rowland, Mark; Munos, Remi; Valko, Michal"
Basis Matters: Better Communication-Efficient Second Order Methods for Federated Learning,Xun Qian (King Abdullah University of Science and Technology)*; Rustem Islamov (Institut Polytechnique de Paris); Mher Safaryan (KAUST); Peter Richtarik (KAUST),"Qian, Xun*; Islamov, Rustem; Safaryan, Mher; Richtarik, Peter"
Infinitely Deep Bayesian Neural Networks with Stochastic Differential Equations,Winnie Xu (University of Toronto)*; Ricky T. Q. Chen (Facebook AI Research); Xuechen Li (Stanford); David Duvenaud (University of Toronto),"Xu, Winnie*; Chen, Ricky T. Q.; Li, Xuechen; Duvenaud, David"
Causally motivated shortcut removal using auxiliary labels ,Maggie Makar (University of Michigan)*; Ben Packer (Google); Dan Moldovan (Google Inc.); Davis Blalock (MIT); Yoni Halpern (Google); Alexander D'Amour (Google Brain),"Makar, Maggie*; Packer, Ben; Moldovan, Dan; Blalock, Davis; Halpern, Yoni; D'Amour, Alexander"
Learning to Plan Variable Length Sequences of Actions with a Cascading Bandit Click Model of User Feedback,Anirban Santara (Google); Gaurav Aggarwal (Google); Shuai Li (Shanghai Jiao Tong University); Claudio Gentile (Google Research)*,"Santara, Anirban; Aggarwal, Gaurav; Li, Shuai; Gentile, Claudio*"
Identity Testing of Reversible Markov Chains,Sela Fried (Ben Gurion University of the Negev)*; Geoffrey Wolfer (Tokyo University of Agriculture and Technology),"Fried, Sela*; Wolfer, Geoffrey"
Sampling in Dirichlet Process Mixture Models for Clustering Streaming Data,Or Dinari (Ben Gurion University)*; Oren Freifeld (Ben-Gurion University),"Dinari, Or*; Freifeld, Oren"
A Globally Convergent Evolutionary Strategy for Stochastic Constrained Optimization with Applications to Reinforcement Learning,Vihang Prakash Patil (USI); Youssef Diouane (ISAE-SUPAERO); Aurelien Lucchi (ETH Zurich)*,"Patil, Vihang Prakash; Diouane, Youssef; Lucchi, Aurelien*"
Adaptively Partitioning Max-Affine Estimators for Convex Regression,Gábor Balázs (-)*,"Balázs, Gábor*"
Variational Marginal Particle Filters,"Jinlin Lai (University of Massachusetts Amherst)*; Daniel Sheldon (University of Massachusetts, Amherst); Justin Domke (UMass Amherst)","Lai, Jinlin*; Sheldon, Daniel; Domke, Justin"
On Structured Filtering-Clustering: Global Error Bound and Optimal First-Order Algorithms,Nhat Ho (University of Texas at Austin); Tianyi Lin (UC Berkeley)*; Michael Jordan (UC Berkeley),"Ho, Nhat; Lin, Tianyi*; Jordan, Michael"
Robustness and reliability when training with noisy labels,Amanda Olmin (Linköping University)*; Fredrik Lindsten (Linköping University),"Olmin, Amanda*; Lindsten, Fredrik"
Robust Bayesian Inference for Simulator-based Models via the MMD Posterior Bootstrap,Charita Dellaporta (University of Warwick)*; Jeremias  Knoblauch (University College London); Theodoros Damoulas (University of Warwick); Francois-Xavier Briol (Alan Turing Institute),"Dellaporta, Charita*; Knoblauch, Jeremias ; Damoulas, Theodoros; Briol, Francois-Xavier"
Break your Bandit Routine with LSD Rewards: a Last Switch Dependent Analysis of Satiation and Seasonality,Pierre Laforgue (Università degli Studi di Milano)*; Giulia Clerici (Università degli Studi di Milano); Nicolò Cesa-Bianchi (University of Milan); Ran Gilad-Bachrach (Tel-Aviv University),"Laforgue, Pierre*; Clerici, Giulia; Cesa-Bianchi, Nicolò; Gilad-Bachrach, Ran"
 Analysis of a Target-Based Actor-Critic Algorithm with Linear Function Approximation,Anas BARAKAT (Telecom Paris)*; Pascal Bianchi (Télécom Paris); Julien Lehmann (Telecom Paris),"BARAKAT, Anas*; Bianchi, Pascal; Lehmann, Julien"
Policy Learning and Evaluation with Randomized Quasi-Monte Carlo,Sébastien M. R. Arnold (USC)*; Pierre L'Ecuyer (Université de Montreal); Liyu Chen (USC); Yi-fan Chen (Google); Fei Sha (Google Research),"Arnold, Sébastien M. R.*; L'Ecuyer, Pierre; Chen, Liyu; Chen, Yi-fan; Sha, Fei"
Learning Personalized Item-to-Item Recommendation Metric via Implicit Feedback,"Nghia Hoang (Independent Researcher)*; Anoop Deoras (Amazon Web Services); Tong Zhao (Amazon); Jin Li (Amazon); George Karypis (University of Minnesota, Twin Cities)","Hoang, Nghia*; Deoras, Anoop; Zhao, Tong; Li, Jin; Karypis, George"
Multiway Spherical Clustering via Degree-Corrected Tensor Block Models,Jiaxin Hu (University of Wisconsin - Madison); Miaoyan Wang (University of Wisconsin - Madison)*,"Hu, Jiaxin; Wang, Miaoyan*"
Fixed Support Tree-Sliced Wasserstein Barycenter,Yuki Takezawa (Kyoto University / RIKEN AIP)*; Ryoma Sato (Kyoto University); Zornitsa Kozareva (Facebook AI Research); Sujith Ravi (Amazon Alexa); Makoto Yamada (RIKEN AIP / Kyoto University),"Takezawa, Yuki*; Sato, Ryoma; Kozareva, Zornitsa; Ravi, Sujith; Yamada, Makoto"
k-Pareto Optimality-Based Sorting with Maximization of Choice,Jean Ruppert ( Share Mathematics and Computing Sàrl); Marharyta Aleksandrova (University of Luxembourg)*; Thomas Engel (University of Luxembourg),"Ruppert, Jean; Aleksandrova, Marharyta*; Engel, Thomas"
Towards Return Parity in Markov Decision Processes,"Jianfeng Chi (University of Virginia)*; Jian Shen (Shanghai Jiao Tong University); Xinyi Dai (Shanghai Jiao Tong University); Weinan Zhang (Apex Data & Knowledge Management Lab, SJTU); Yuan Tian (University of Virginia); Han Zhao (University of Illinois at Urbana-Champaign)","Chi, Jianfeng*; Shen, Jian; Dai, Xinyi; Zhang, Weinan; Tian, Yuan; Zhao, Han"
Uncertainty Quantification for Low-Rank Matrix Completion with Heterogeneous and Sub-Exponential Noise,Vivek Farias (MIT); Andrew A Li (Carnegie Mellon University); Tianyi Peng (MIT)*,"Farias, Vivek; Li, Andrew A; Peng, Tianyi*"
Survival regression with proper scoring rules and monotonic neural networks,David Rindt (University of Oxford); Robert Hu (University of Oxford)*; David Steinsaltz (University of Oxford); Dino Sejdinovic (University of Oxford),"Rindt, David; Hu, Robert*; Steinsaltz, David; Sejdinovic, Dino"
Physics Informed Deep Kernel Learning,Zheng Wang (University of Utah)*; Wei Xing (University of Utah); Robert Kirby (University of Utah); Shandian Zhe (University of Utah),"Wang, Zheng*; Xing, Wei; Kirby, Robert; Zhe, Shandian"
Fast Distributionally Robust Learning with Variance-Reduced Min-Max Optimization,Yaodong Yu (UC Berkeley)*; Tianyi Lin (UC Berkeley); Eric V Mazumdar (University of California Berkeley); Michael Jordan (UC Berkeley),"Yu, Yaodong*; Lin, Tianyi; Mazumdar, Eric V; Jordan, Michael"
Heavy-tailed Streaming Statistical Estimation,Che-Ping Tsai (Carnegie Mellon University)*; Adarsh Prasad (Carnegie Mellon University); Sivaraman Balakrishnan (Carnegie Mellon University); Pradeep Ravikumar (Carnegie Mellon University),"Tsai, Che-Ping*; Prasad, Adarsh; Balakrishnan, Sivaraman; Ravikumar, Pradeep"
On Distributionally Robust Optimization and Data Rebalancing,Agnieszka Słowik (Department of Computer Science and Technology University of Cambridge)*; Leon Bottou (Facebook),"Słowik, Agnieszka*; Bottou, Leon"
Spiked Covariance Estimation from Modulo-Reduced Measurements,Elad Romanov (Hebrew University of Jerusalem)*; Or Ordentlich (Hebrew University of Jerusalem),"Romanov, Elad*; Ordentlich, Or"
A Contraction Theory Approach to Optimization Algorithms from Acceleration Flows,"Pedro Cisneros (University of California, Santa Barbara)*; Francesco Bullo (UCSB)","Cisneros, Pedro*; Bullo, Francesco"
Robust Probabilistic Time Series Forecasting,TaeHo Yoon (Seoul National University)*; Youngsuk Park (Amazon Research); Ernest K Ryu (Seoul National University); Yuyang Wang (Amazon),"Yoon, TaeHo*; Park, Youngsuk; Ryu, Ernest K; Wang, Yuyang"
VFDS: Variational Foresight Dynamic Selection in Bayesian Neural Networks for Efficient Human Activity Recognition,Randy Ardywibowo (Texas A&M University)*; Shahin Boluki (Texas A&M University); Zhangyang Wang (University of Texas at Austin); Bobak J Mortazavi (Texas A&M University); Shuai Huang (University of Washington); Xiaoning  Qian (Texas A&M University),"Ardywibowo, Randy*; Boluki, Shahin; Wang, Zhangyang; Mortazavi, Bobak J; Huang, Shuai; Qian, Xiaoning "
Implicitly Regularized RL with Implicit Q-values,Nino Vieillard (Google Research)*; Marcin Andrychowicz (Google); Anton Raichuk (Google); Olivier Pietquin (Google Research - Brain Team); Matthieu Geist (Google Brain),"Vieillard, Nino*; Andrychowicz, Marcin; Raichuk, Anton; Pietquin, Olivier; Geist, Matthieu"
A Witness Two-Sample Test,"Jonas M Kübler (MPI for Intelligent Systems, Tübingen)*; Wittawat Jitkrittum (Google Research); Bernhard Schölkopf (MPI for Intelligent Systems, Tübingen); Krikamol Muandet (Max Planck Institute for Intelligent Systems)","Kübler, Jonas M*; Jitkrittum, Wittawat; Schölkopf, Bernhard; Muandet, Krikamol"
Sample-and-threshold differential privacy: Histograms and applications,Graham Cormode (University of Warwick)*; Akash Bharadwaj (Facebook Inc),"Cormode, Graham*; Bharadwaj, Akash"
Common Failure Modes of Subcluster-based Sampling in Dirichlet Process Gaussian Mixture Models - and a Deep-learning Solution,Vlad Winter (Ben Gurion University)*; Or Dinari (Ben Gurion University); Oren Freifeld (Ben-Gurion University),"Winter, Vlad*; Dinari, Or; Freifeld, Oren"
A Complete Characterisation of ReLU-Invariant Distributions,Stephan Wäldchen (TU Berlin)*; Jan Macdonald (Technische Universität Berlin),"Wäldchen, Stephan*; Macdonald, Jan"
Threading the Needle of On and Off-Manifold Value Functions for Shapley Explanations,"Chih-Kuan  Yeh (Carnegie Mellon University)*; Kuan-Yun Lee (University of California, Berkeley); Frederick Liu (Google Inc.); Pradeep Ravikumar (Carnegie Mellon University)","Yeh, Chih-Kuan *; Lee, Kuan-Yun; Liu, Frederick; Ravikumar, Pradeep"
Discovering Inductive Bias with Gibbs Priors: A Diagnostic Tool for Approximate Bayesian Inference,Luca Rendsburg (University of Tübingen)*; Agustinus Kristiadi (University of Tübingen); Philipp Hennig (University of Tübingen and MPI for Intelligent Systems Tübingen); Ulrike von Luxburg (U Tübingen),"Rendsburg, Luca*; Kristiadi, Agustinus; Hennig, Philipp; von Luxburg, Ulrike"
Equivariance Discovery by Learned Parameter-Sharing,Raymond A Yeh (TTIC)*; Yuan-Ting Hu (UIUC); Mark Hasegawa-Johnson (University of Illinois); Alexander Schwing (UIUC),"Yeh, Raymond A*; Hu, Yuan-Ting; Hasegawa-Johnson, Mark; Schwing, Alexander"
Optimal Rates of (Locally) Differentially Private Heavy-tailed Multi-Armed Bandits,Youming Tao (Shandong University); Yulian Wu (KAUST); Peng Zhao (Nanjing University); Di Wang (KAUST)*,"Tao, Youming; Wu, Yulian; Zhao, Peng; Wang, Di*"
Standardisation-function Kernel Stein Discrepancy (Sf-KSD): A Unifying View on Kernel Stein Discrepancy for Goodness-of-fit Testing,"Wenkai Xu (Department of Statistics, University of Oxford)*","Xu, Wenkai*"
Parametric Bootstrap for Differentially Private Confidence Intervals,"Cecilia Ferrando (University of Massachusetts, Amherst)*; Shufan Wang (University of Massachusetts Amherst); Daniel Sheldon (University of Massachusetts, Amherst)","Ferrando, Cecilia*; Wang, Shufan; Sheldon, Daniel"
Nearly Tight Convergence Bounds for Semi-discrete Entropic Optimal Transport,Alex Delalande (INRIA)*,"Delalande, Alex*"
Deep Generative model with Hierarchical Latent Factors for Timeseries Anomaly Detection,"Cristian I Challu (Carnegie Mellon University); Peihong Jiang (Amazon); Ying Nian Wu (University of California, Los Angeles); Laurent Callot (Amazon Research)*","Challu, Cristian I; Jiang, Peihong; Wu, Ying Nian; Callot, Laurent*"
Online Page Migration with ML Advice,"Piotr Indyk (MIT); Frederik Mallmann-Trenn (King's College London); Slobodan Mitrovic (UC Davis)*; Ronitt Rubinfeld (MIT, TAU)","Indyk, Piotr; Mallmann-Trenn, Frederik; Mitrovic, Slobodan*; Rubinfeld, Ronitt"
Policy Learning for Optimal Individualized Dose Intervals,Guanhua Chen (University of Wisconsin-Madison)*; xiaomao li (university of wisconsin-madison); Menggang Yu (University of Wisconsin - Madison),"Chen, Guanhua*; li, xiaomao; Yu, Menggang"
Deep Multi-Fidelity Active Learning of High-Dimensional Outputs,Shibo Li (University of Utah)*; Zheng Wang (University of Utah); Robert Kirby (University of Utah); Shandian Zhe (University of Utah),"Li, Shibo*; Wang, Zheng; Kirby, Robert; Zhe, Shandian"
Online Learning for Unknown Partially Observable MDPs,Mehdi Jafarnia Jahromi (University of Southern California)*; Rahul Jain (University of Southern California); Ashutosh Nayyar (University of Southern California),"Jafarnia Jahromi, Mehdi*; Jain, Rahul; Nayyar, Ashutosh"
"Is Bayesian Model-Agnostic Meta Learning Better thanModel-Agnostic Meta Learning, Provably?",Lisha Chen (RENSSELAER POLYTECHNIC INST)*; Tianyi Chen (Rensselaer Polytechnic Institute),"Chen, Lisha*; Chen, Tianyi"
A Bayesian Model for Online Activity Sample Sizes,Yu Liu (Amazon)*; Thomas S.  Richardson (University of Washington); James McQueen (Amazon); Doug Hains (Amazon),"Liu, Yu*; Richardson, Thomas S. ; McQueen, James; Hains, Doug"
Parallel MCMC Without Embarrassing Failures,Daniel A de Souza (University College London)*; Diego Mesquita (Aalto University); Samuel Kaski (Aalto University and University of Manchester); Luigi Acerbi (University of Helsinki),"de Souza, Daniel A*; Mesquita, Diego; Kaski, Samuel; Acerbi, Luigi"
Optimal Dynamic Regret for Exp-Concave Losses: Proper Learning under Box Constraints,Dheeraj Baby (University of California Santa Barbara)*; Yu-Xiang Wang (UC Santa Barbara),"Baby, Dheeraj*; Wang, Yu-Xiang"
Counterfactual Explanation Trees: Transparent and Consistent Actionable Recourse with Decision Trees,Kentaro Kanamori (Hokkaido University)*; Takuya Takagi (Fujitsu Laboratories Ltd.); Ken Kobayashi (Fujitsu Limited); Yuichi Ike (The university of Tokyo),"Kanamori, Kentaro*; Takagi, Takuya; Kobayashi, Ken; Ike, Yuichi"
Spectral risk-based learning using unbounded losses,Matthew J Holland (Osaka University)*; El Mehdi Haress (CentraleSupélec),"Holland, Matthew J*; Haress, El Mehdi"
A Dual Approach to Constrained Markov Decision Processes with Entropy Regularization,Donghao Ying (UNIVERSITY OF CALIFORNIA BERKELEY)*; Yuhao Ding (University of California - Berkeley); Javad Lavaei (UC Berkeley),"Ying, Donghao*; Ding, Yuhao; Lavaei, Javad"
On the Global Convergence of Momentum-based Policy Gradient,Yuhao Ding (University of California - Berkeley)*; Junzi Zhang (Stanford University); Javad Lavaei (UC Berkeley),"Ding, Yuhao*; Zhang, Junzi; Lavaei, Javad"
Kernel Knockoff for post selection screening,Benjamin Poignard (Osaka University / RIKEN AIP)*; Peter J Naylor (RIKEN); Héctor Climente-González (RIKEN); Makoto Yamada (RIKEN AIP / Kyoto University),"Poignard, Benjamin*; Naylor, Peter J; Climente-González, Héctor; Yamada, Makoto"
Bias-Variance Decompositions for Margin Losses,Danny Wood (University of Manchester)*; Tingting Mu (University of Manchester); Gavin Brown (The University Of Manchester),"Wood, Danny*; Mu, Tingting; Brown, Gavin"
Grassmann Stein Variational Gradient Descent,Xing Liu (Imperial College London)*; Harrison Zhu (Imperial College London); Jean-Francois Ton (University of Oxford); George Wynne (Imperial College London); Andrew Duncan (Imperial College London),"Liu, Xing*; Zhu, Harrison; Ton, Jean-Francois; Wynne, George; Duncan, Andrew"
Nonstochastic Bandits and Experts with Arm-Dependent Delays,Dirk van der Hoeven (Università degli Studi di Milano)*; Nicolò Cesa-Bianchi (University of Milan),"van der Hoeven, Dirk*; Cesa-Bianchi, Nicolò"
Improved analysis of randomized SVD for top-eigenvector approximation,Ruo-Chun Tzeng (KTH Royal Institute of Technology)*; Po-An Wang (KTH Royal Institute of Technology); Florian Adriaens (KTH); Aristides Gionis (KTH Royal Institute of Technology); Chi-Jen Lu (Academia Sinica),"Tzeng, Ruo-Chun*; Wang, Po-An; Adriaens, Florian; Gionis, Aristides; Lu, Chi-Jen"
p-Generalized Probit Regression and Scalable Maximum Likelihood Estimation via Sketching and Coresets,Alexander Munteanu (TU Dortmund)*; Simon Omlor (TU Dortmund); Christian Peters (TU Dortmund),"Munteanu, Alexander*; Omlor, Simon; Peters, Christian"
Non-stationary Online Learning with Memory and Non-stochastic Control,Peng Zhao (Nanjing University)*; Yu-Xiang Wang (UC Santa Barbara); Zhi-Hua Zhou (Nanjing University),"Zhao, Peng*; Wang, Yu-Xiang; Zhou, Zhi-Hua"
Dimensionality Reduction and Prioritized Exploration for Policy Search,"Marius Memmel (Technical University of Darmstadt); Puze Liu (IAS, TU Darmstadt)*; Davide Tateo (Technische Universität Darmstadt); Jan Peters (TU Darmstadt)","Memmel, Marius; Liu, Puze*; Tateo, Davide; Peters, Jan"
The Curse Revisited: When are Distances Informative for the Ground Truth in Noisy High-Dimensional Data?,Robin Vandaele (Ghent University)*; Bo Kang (Ghent University); Tijl De Bie (Ghent University); Yvan Saeys (Ghent University),"Vandaele, Robin*; Kang, Bo; De Bie, Tijl; Saeys, Yvan"
Improving Attribution Methods by Learning Submodular Functions,"Piyushi Manupriya (Indian Institute of Technology, Hyderabad)*; Tarun Ram Menta (Indian Institute of Technology, Hyderabad ); SakethaNath N Jagarlapudi (IIT Hyderabad); Vineeth N Balasubramanian (Indian Institute of Technology, Hyderabad)","Manupriya, Piyushi*; Menta, Tarun Ram; Jagarlapudi, SakethaNath N; N Balasubramanian, Vineeth"
Conditional Gradients for the Approximately Vanishing Ideal,Elias S Wirth (ZIB)*; Sebastian Pokutta (ZIB),"Wirth, Elias S*; Pokutta, Sebastian"
Efficient  Algorithms for Extreme Bandits,Dorian Baudry (CNRS/INRIA)*; Yoan Russac (ENS Paris); Emilie Kaufmann (CNRS),"Baudry, Dorian*; Russac, Yoan; Kaufmann, Emilie"
Rejection sampling from shape-constrained distributions in sublinear time,Sinho Chewi (Massachusetts Institute of Technology); Patrik R Gerber (MIT); Chen Lu (Massachusetts Institute of Technology)*; Thibaut Le Gouic (Massachusetts Institute of Technology); Philippe Rigollet (MIT),"Chewi, Sinho; Gerber, Patrik R; Lu, Chen*; Le Gouic, Thibaut; Rigollet, Philippe"
Learning Inconsistent Preferences with Gaussian Processes,"Siu Lun Chau (Department of Statistics, University of Oxford); Javier Gonzalez (Microsoft Research); Dino Sejdinovic (University of Oxford)*","Chau, Siu Lun; Gonzalez, Javier; Sejdinovic, Dino*"
Bayesian Classifier Fusion with an Explicit Model of Correlation,Susanne Trick (Technical University Darmstadt)*; Constantin Rothkopf (TU Darmstadt),"Trick, Susanne*; Rothkopf, Constantin"
Conditional Gaussian PAC-Bayes,Eugenio Clerico (University of Oxford)*; George Deligiannidis (Oxford); Arnaud Doucet (Oxford University),"Clerico, Eugenio*; Deligiannidis, George; Doucet, Arnaud"
Leveraging Time Irreversibility with Order-Contrastive Pre-training,Monica N Agrawal (MIT); Hunter Lang (MIT)*; Michael Offin (Memorial Sloan Kettering Cancer Center); Lior Gazit (MSKCC); David Sontag (MIT),"Agrawal, Monica N; Lang, Hunter*; Offin, Michael; Gazit, Lior; Sontag, David"
Moment Matching Deep Contrastive Latent Variable Models,Ethan Weinberger (University of Washington)*; Nicasia Beebe-Wang (University of Washington); Su-In Lee (University of Washington),"Weinberger, Ethan*; Beebe-Wang, Nicasia; Lee, Su-In"
Unifying Importance Based Regularisation Methods for Continual Learning,Frederik Benzing (ETH Zurich)*,"Benzing, Frederik*"
Differentially Private Histograms under Continual Observation: Streaming Selection into the Unknown,Adrian Rivera Cardoso (LinkedIn); Ryan Rogers (LinkedIn)*,"Rivera Cardoso, Adrian; Rogers, Ryan*"
Confident Least Square Value Iteration with Local Access to a Simulator,Botao Hao (Deepmind)*; Nevena Lazic (DeepMind); Dong Yin (DeepMind); Yasin Abbasi-Yadkori (DeepMind); Csaba Szepesvari (DeepMind/University of Alberta),"Hao, Botao*; Lazic, Nevena; Yin, Dong; Abbasi-Yadkori, Yasin; Szepesvari, Csaba"
Safe Optimal Design with Applications in Policy Learning,Ruihao Zhu (MIT)*; Branislav Kveton (Amazon),"Zhu, Ruihao*; Kveton, Branislav"
Accurate Shapley Values for explaining tree-based models,Nicolas Brunel (ENSIIE)*; Salim I. Amoukou (Stellantis); Tangi Salaün (Quantmetry),"Brunel, Nicolas*; I. Amoukou, Salim; Salaün, Tangi"
A Single-Timescale Method for Stochastic Bilevel Optimization,"Tianyi Chen (Rensselaer Polytechnic Institute)*; Yuejiao Sun (University of California, Los Angeles); Quan Xiao (Rensselaer Polytechnic Institute); Wotao Yin (University of California, Los Angeles)","Chen, Tianyi*; Sun, Yuejiao; Xiao, Quan; Yin, Wotao"
Strategic ranking,"Lydia T. Liu (University of California, Berk)*; Nikhil Garg (Cornell Tech); Christian Borgs (UC Berkeley)","Liu, Lydia T.*; Garg, Nikhil; Borgs, Christian"
Encrypted Linear Contextual Bandit,Evrard Garcelon (Facebook AI Research )*; Matteo Pirotta (Facebook AI Research); Vianney Perchet (ENSAE & Criteo AI Lab),"Garcelon, Evrard*; Pirotta, Matteo; Perchet, Vianney"
